,setdiff.substr.license_maps.APPL_ID..1..7...scannedMapsRecords.ApplicationNumber.
1,A010795
2,A011003
3,A013684
4,A014050
5,A014068
6,A014178
7,A015696
8,A016875
9,A018052
10,A018702
11,A020760
12,A022328
13,A022574
14,A022889
15,A023120
16,A023609
17,A023950
18,A024124
19,A024702
20,A025877
21,A028160
22,A028220
23,A029629
24,A029983
25,A030261
26,A030373
27,A030448
28,A030449
29,A030497
30,A030718
31,A031003
32,A031004
33,A031259
34,A031599
35,A031620
36,A031665
37,A031719
38,A031737
39,A031743
40,A031791
41,A031836
42,A032115
43,A032263
44,A032305
45,A032324
46,A032372
47,A032701
48,A032824
49,A032902
